video_id,point_x1,point_y1,point_x2,point_y2,point_x3,point_y3,point_x4,point_y4
C0008,505,331,506,593,1375,568,1361,327
C0009,625,320,629,587,1361,555,1341,317
C0012,691,221,681,600,1396,591,1366,213
301_id11,425,309,425,724,1920,724,1920,309
301_id12,425,309,425,724,1920,724,1920,309
301_id13,425,309,425,724,1920,724,1920,309
302_id11,1,240,1,646,1300,646,1300,240
302_id12,1,240,1,646,1300,646,1300,240
302_id13,1,240,1,646,1300,646,1300,240
303_id11,425,309,425,724,1920,724,1920,309
303_id12,425,309,425,724,1920,724,1920,309
303_id13,425,309,425,724,1920,724,1920,309
304_id11,1,240,1,646,1300,646,1300,240
304_id12,1,240,1,646,1300,646,1300,240
304_id13,1,240,1,646,1300,646,1300,240
305_id11,425,309,425,724,1920,724,1920,309
305_id12,425,309,425,724,1920,724,1920,309
305_id13,425,309,425,724,1920,724,1920,309
307_id11,425,309,425,724,1920,724,1920,309
307_id12,425,309,425,724,1920,724,1920,309
307_id13,425,309,425,724,1920,724,1920,309
308_id11,425,309,425,724,1920,724,1920,309
308_id12,425,309,425,724,1920,724,1920,309
308_id13,425,309,425,724,1920,724,1920,309
309_id11,425,309,425,724,1920,724,1920,309
309_id12,425,309,425,724,1920,724,1920,309
309_id13,425,309,425,724,1920,724,1920,309
