video_id,point_x1,point_x2,point_x3,point_x4,point_y1,point_y2,point_y3,point_y4
C0099_1000_1660,1185,1175,1330,1341,334,803,805,330
C0099_2500_3200,1185,1175,1330,1341,334,803,805,330
C0099_4000_4900,1185,1175,1330,1341,334,803,805,330
C0002_60fps,1180,1175,1318,1333,380,866,866,376
20250304_161535,1199,1209,1358,1364,379,867,872,378
20250304_164250,1191,1205,1365,1378,371,866,868,358
20250304_164355,1191,1178,1308,1320,349,864,870,353
realtime14,1195,1204,1378,1379,387,868,867,386
realtime15,1227,1221,1408,1413,384,867,870,389
realtime17,1188,1160,1576,1577,360,945,1002,257
realtime18,1239,1238,1423,1422,323,867,870,316
realtime20,1213,1199,1336,1344,351,868,868,350
realtime21,1191,1174,1319,1333,392,866,869,387
realtime22,1205,1200,1377,1375,395,864,867,391
realtime25,1218,1217,1376,1396,330,865,871,333
realtime26,1206,1205,1368,1366,365,866,866,358
realtime27,1218,1218,1387,1388,359,864,868,357
