video_id,point_x1,point_x2,point_x3,point_x4,point_y1,point_y2,point_y3,point_y4
C0099_1000_1660,1633,1629,1786,1784,525,725,737,526
C0099_2500_3200,1633,1629,1786,1784,525,725,737,526
C0099_4000_4900,1633,1629,1786,1784,525,725,737,526
C0002_60fps,1566,1567,1747,1751,554,805,815,556
20250304_161535,1564,1562,1755,1749,572,793,806,566
20250304_164250,1563,1561,1781,1793,542,728,752,541
20250304_164355,1631,1615,1809,1839,594,778,803,584
C0003_60fps,1521,1522,1720,1707,559,790,800,564
realtime2,1531,1533,1718,1704,570,785,797,583
realtime5,1517,1531,1680,1672,546,766,767,557
realtime6,1483,1501,1682,1658,557,794,797,562
realtime8,1528,1525,1711,1710,561,795,801,568
realtime9,1539,1535,1706,1702,581,798,800,584
realtime10,1526,1538,1696,1687,578,785,789,573
realtime13,1527,1529,1711,1709,633,836,846,641
realtime14,1505,1509,1712,1711,631,871,876,639
realtime17,1528,1532,1713,1709,638,866,876,642
pitching_machine_20250317,1528,1532,1713,1709,638,866,876,642
