video_id,point_x1,point_x2,point_x3,point_x4,point_y1,point_y2,point_y3,point_y4
C0099_1000_1660,523,205,1917,1581,662,806,814,668
C0099_2500_3200,543,205,1917,1555,645,806,811,650
C0099_4000_4900,523,205,1917,1581,662,806,814,668
C0002_60fps,522,201,1917,1581,710,859,878,718
20250304_161535,510,205,1917,1557,718,863,880,718
20250304_164250,513,203,1912,1566,724,865,880,732
20250304_164355,524,203,1902,1560,717,858,879,731
realtime14,525,206,1900,1562,718,864,880,729
realtime15,528,208,1913,1546,714,863,882,707
realtime16,1065,1084,1300,1318,507,732,751,559
realtime17,398,399,1616,1678,561,866,938,522
realtime18,527,204,1918,1550,716,860,878,715
realtime20,526,205,1916,1550,714,864,878,715
realtime21,529,207,1918,1569,704,860,878,713
realtime22,524,206,1916,1544,713,862,876,712
realtime25,525,208,1917,1553,714,862,880,715
realtime26,528,206,1910,1564,709,859,878,713
realtime27,527,203,1918,1559,709,865,879,707
C0003_60fps,524,208,1918,1558,710,856,877,718
realtime2,546,233,1920,1575,719,871,875,720
realtime5,521,209,1917,1563,698,848,854,701
realtime6,496,175,1902,1543,724,878,880,723
realtime8,521,206,1918,1557,713,861,879,716
realtime9,522,206,1919,1558,715,862,880,718
